iter	MultiClass
0	1.016020568
1	0.9390401255
2	0.8700982892
3	0.8096001377
4	0.7586103308
5	0.7123055061
6	0.672160978
7	0.636759968
8	0.6031359117
9	0.5718575872
10	0.5459588146
11	0.5202250017
12	0.4990440018
13	0.479056657
14	0.4629561488
15	0.4435302772
16	0.4274198514
17	0.4127087624
18	0.3966064785
19	0.3838118934
20	0.3701470127
21	0.3597705553
22	0.3493980024
23	0.3373172595
24	0.3267907041
25	0.3168598053
26	0.3106490523
27	0.3019872676
28	0.2951382906
29	0.2878749508
30	0.2804212137
31	0.2742926704
32	0.2668911129
33	0.2604695094
34	0.2537395135
35	0.2486536205
36	0.244078634
37	0.2388943297
38	0.2342041977
39	0.2288618142
40	0.2239100157
41	0.2194344289
42	0.2151600582
43	0.2121381142
44	0.2079909404
45	0.2045242739
46	0.2008743192
47	0.197022945
48	0.1934593934
49	0.1897063897
50	0.1869425452
51	0.1832884104
52	0.1805137254
53	0.1779384991
54	0.1757668992
55	0.1740398151
56	0.1714734086
57	0.1691941447
58	0.1665219669
59	0.1647516702
60	0.1629106782
61	0.1608113072
62	0.158402718
63	0.1564056116
64	0.1541398693
65	0.1522023124
66	0.150876181
67	0.149240985
68	0.1475381533
69	0.1464272467
70	0.1448784908
71	0.1436238247
72	0.1417472129
73	0.140154818
74	0.1388618277
75	0.1371116299
76	0.1356794474
77	0.1336487413
78	0.1323345423
79	0.1314500989
80	0.1309429351
81	0.1293731846
82	0.1281565093
83	0.1264598341
84	0.1250079883
85	0.1237658006
86	0.1225541852
87	0.1212852032
88	0.1200491734
89	0.11896245
90	0.1175682366
91	0.116591684
92	0.115450804
93	0.1142887653
94	0.1136005908
95	0.1125233837
96	0.1112627972
97	0.110313045
98	0.1093235152
99	0.1084424291
100	0.1077355501
101	0.106939101
102	0.1059605337
103	0.1050894578
104	0.1040654416
105	0.1033613253
106	0.1024468254
107	0.1019372683
108	0.1013647496
109	0.1009433934
110	0.1003091473
111	0.09935565768
112	0.09858674246
113	0.09766373055
114	0.09697372311
115	0.09633395018
116	0.09600733119
117	0.09509771464
118	0.09434566547
119	0.09367640662
120	0.09273455068
121	0.09211621972
122	0.09119134557
123	0.09065475257
124	0.0900282997
125	0.08946762032
126	0.08888015114
127	0.0882272938
128	0.08763482343
129	0.08694485659
130	0.08610761841
131	0.08561866497
132	0.08504538196
133	0.0844332837
134	0.0838928015
135	0.08324465257
136	0.08276398939
137	0.08246855373
138	0.08189629903
139	0.08148575808
140	0.08105166946
141	0.08050765597
142	0.07983585747
143	0.07939352201
144	0.07886670043
145	0.07840298241
146	0.07803960302
147	0.07757844353
148	0.07721286749
149	0.07692315397
150	0.07649281524
151	0.07611914418
152	0.07570923991
153	0.0752928204
154	0.07472874132
155	0.07431848925
156	0.0736660366
157	0.07316532993
158	0.07282256792
159	0.07250174688
160	0.07215411108
161	0.07196080231
162	0.07141807017
163	0.07099400685
164	0.0705599618
165	0.06999725332
166	0.06963012231
167	0.06916476688
168	0.06870257385
169	0.06822122074
170	0.06795474555
171	0.06757104856
172	0.0671745556
173	0.06691152777
174	0.06653702991
175	0.06604361457
176	0.065695044
177	0.06550666876
178	0.06531017092
179	0.06499677625
180	0.06452002054
181	0.06408106424
182	0.06348242915
183	0.06328603419
184	0.06300005628
185	0.06269029948
186	0.06231150711
187	0.06221099668
188	0.06205277721
189	0.06184128187
190	0.06148469904
191	0.06112513714
192	0.06079476791
193	0.06059489895
194	0.06024159031
195	0.05985563543
196	0.05948681449
197	0.05935611402
198	0.05912692429
199	0.05885565367
200	0.05858168264
201	0.05852404542
202	0.05823003428
203	0.05797135176
204	0.0577596481
205	0.05743786293
206	0.05718737649
207	0.05698176032
208	0.05680735855
209	0.05665180458
210	0.05642139803
211	0.05618248953
212	0.05590867978
213	0.05550456081
214	0.05526143096
215	0.05493487021
216	0.05473769204
217	0.05445324269
218	0.05420906663
219	0.05404176645
220	0.05384076067
221	0.05367313746
222	0.05350246469
223	0.05320633891
224	0.05299370933
225	0.05275092034
226	0.05239699764
227	0.05219658419
228	0.05185417758
229	0.05164514966
230	0.05140380386
231	0.05105825936
232	0.05076941272
233	0.05037839342
234	0.05023151145
235	0.05001270597
236	0.04984431555
237	0.04963763171
238	0.04952575526
239	0.0492159046
240	0.04893895504
241	0.04866539812
242	0.04841810854
243	0.04826995334
244	0.04810076114
245	0.04788800942
246	0.04761220653
247	0.04746541614
248	0.04730358896
249	0.04714785416
250	0.04694536361
251	0.04668471872
252	0.04651264311
253	0.04632323669
254	0.04616746389
255	0.04599228453
256	0.04579968498
257	0.04564804696
258	0.04544618816
259	0.04526327226
260	0.04513113295
261	0.04482142452
262	0.04462926855
263	0.04455949574
264	0.0443684104
265	0.04429125863
266	0.04409815821
267	0.04384312257
268	0.04359016421
269	0.04342674373
270	0.04327374162
271	0.04309208096
272	0.04292760688
273	0.04269240762
274	0.04251473917
275	0.04238834183
276	0.04226956383
277	0.04215084457
278	0.04188945446
279	0.04175127792
280	0.04168639046
281	0.04149778138
282	0.04134634493
283	0.04122167137
284	0.0410219732
285	0.04089940819
286	0.04080757374
287	0.04065672755
288	0.04048479262
289	0.04041566281
290	0.04025464178
291	0.04011885741
292	0.03995393331
293	0.03980323028
294	0.03968217119
295	0.03961207629
296	0.0394775029
297	0.03938017912
298	0.03925782587
299	0.03912346539
300	0.03896692231
301	0.03889413236
302	0.0387667775
303	0.03864701485
304	0.03852686514
305	0.03840215918
306	0.03828333273
307	0.03810127712
308	0.03792200184
309	0.03767496876
310	0.03759668845
311	0.0374763957
312	0.03738173506
313	0.03726348165
314	0.03713181273
315	0.03701899419
316	0.03689452963
317	0.03673889371
318	0.0366316142
319	0.03639913243
320	0.03629197504
321	0.0361972936
322	0.03603647494
323	0.03593192516
324	0.03584115833
325	0.03573256281
326	0.03562466958
327	0.0354516787
328	0.03536503509
329	0.0352974826
330	0.03515263851
331	0.03496859745
332	0.03486256135
333	0.03474949836
334	0.03462914231
335	0.03445128763
336	0.03434730523
337	0.03421482261
